MAZE_FILE_INDEX	BLOCK	TOUR_HAND	IS_COMPLETE	DELTA_T	N_ERRORS	EOL_RATING	JOL_RATING	RCJ_RATING	PLAYER_LIN_VEL	PLAYER_RAD_VEL	PLAYER_BODY_RADIUS	N_PRAC_TRIALS	N_BLOCKS	TOUR_LIN_VEL	TOUR_RAD_VEL	FRAME_RATE	PERSPEC_ANGLE	EYE_LEVEL	COORD_T_INTERVAL	COORD_MAX_T	N_ROWS	N_COLS	NOW_NUM	DATE
3	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
18	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
2	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
20	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
17	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
5	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
7	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
12	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
1	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
14	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
8	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
13	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
11	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
6	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
19	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
9	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
17	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
15	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
16	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
6	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
9	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
12	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
19	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
2	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
1	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
3	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
10	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
5	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
18	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
14	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
13	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
7	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
8	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
4	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
11	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
20	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006061	10-Nov-2023 00:08:43
18	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
3	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
17	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
9	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
5	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
20	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
10	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
19	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
1	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
12	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
4	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
14	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
6	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
15	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
7	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
13	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
2	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
16	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739200.006450	10-Nov-2023 00:09:17
